Platform,,Meta,Meta,Meta,Meta,Meta,Meta,LMS,FFH Sheet,FFH Sheet,Fornula,Fornula,FFH Sheet,Formula,Formula,Formula,Formula,FFH Sheet
Platform,Type,Account,Date,Campaign,Ad Name,Spends,Pannel_Lead,Lead_LMS,FFH,Adm,CPL Pannel,CPL LMS,Invoicing_Var,CAC FFH,CAC Adm,CAC / ARPU,Lead Dup,Total_Var
Meta Ads,,FaceBook_University_Admit,2025-12-03,Online_UG_PG_Degree_Admission,Online_UG_PG_Online_Admission,429.04,9,7,0,0,48,61,0,-,-,-,22%,0
Meta Ads,,FaceBook_University_Admit,2025-12-04,Galgotias_University_2026_AU,Galgotias_University_2026_AU_A02,349.69,18,18,0,0,19,19,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-04,IGNOU_MBA_27th _Aug,IGNOU_MBA - v2Ad2,258.75,5,5,0,0,52,52,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-04,IGNOU_MBA_27th _Aug,IGNOU_MBA_27thAug_V2,239.28,8,9,0,0,30,27,0,-,-,-,-13%,0
Meta Ads,,FaceBook_University_Admit,2025-12-04,Online_UG_PG_Degree_Admission,Online_UG_PG_Online_Admission,452.33,14,12,0,0,32,38,0,-,-,-,14%,0
Meta Ads,,FaceBook_University_Admit,2025-12-05,Galgotias_University_2026_AU,Galgotias_University_2026_AU_A02,344.28,8,7,0,0,43,49,0,-,-,-,13%,0
Meta Ads,,FaceBook_University_Admit,2025-12-05,IGNOU_MBA_27th _Aug,IGNOU_MBA - v2Ad2,298.79,3,3,0,0,100,100,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-05,IGNOU_MBA_27th _Aug,IGNOU_MBA_27thAug_V2,205.01,3,3,0,0,68,68,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-05,NMIMS_University_MBA_AU,NMIMS_University_MBA_AU_A02,318.02,7,8,0,0,45,40,0,-,-,-,-14%,0
Meta Ads,,FaceBook_University_Admit,2025-12-05,Online_UG_PG_Degree_Admission,Online_UG_PG_Online_Admission,464.77,8,7,0,0,58,66,0,-,-,-,13%,0
