Platform,Platform Type,Account,Date,Campaign,Ad Name,Spends,Pannel_Lead,LMS Leads
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-06,Online_UG&PG_SF,Online_UG&PG_SF_CR1,91.96,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-06,Online_BBA_SF_ASH_1,Online_BBA_SF_ASH_CR1,335.27,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-06,Online_UG&PG_SF,Online_UG&PG_SF_CR2,340.74,3,3
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-06,Online_UG_Video_SF,Online_UG_Video_SF_VD2,351.98,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-06,ONLINE_MBA_SF_ASH_2,ONLINE_MBA_SF_ASH_2_CR1,111.73,3,1
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-06,Amity_Online_MBA_SF,Amity_Online_MBA_SF_CR1,361.25,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-06,ONLINE_MBA_SF_ASH_2,ONLINE_MBA_SF_ASH_2_CR2,208.43,6,4
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-06,ONLINE_MBA_SF_ASH_3,ONLINE_MBA_SF_ASH_3_CR1,213.27,6,2
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-06,ONLINE_MBA_SF_ASH_3,ONLINE_MBA_SF_ASH_3_CR2,105.83,6,3
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-06,CU_ONLINE_UG&PG_ASH_4,CU_ONLINE_UG&PG_ASH_4_CR1,178.08,0,1
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-06,CU_ONLINE_UG&PG_ASH_4,CU_ONLINE_UG&PG_ASH_4_CR2,145.75,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-06,Manipal_Online_UG&PG_SF,Manipal_Online_UG&PG_SF_CR1,188.47,0,2
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-06,AMITY_ONLINE_UG&PG_ASH_5,AMITY_ONLINE_UG&PG_ASH_5_CR1,140.61,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-06,AMITY_ONLINE_UG&PG_ASH_5,AMITY_ONLINE_UG&PG_ASH_5_CR2,160.94,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-06,Shoolini_Online_UG&PG_SF,Shoolini_Online_UG&PG_SF_CR1,57.94,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-06,Manipal_Online_UG&PG_SF,Manipal_Online_UG&PG_SF_CR2,117.75,0,1
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-06,Shoolini_Online_UG&PG_SF,Shoolini_Online_UG&PG_SF_CR2,257.6,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-06,Shoolini_Online_UG&PG_IF,Shoolini_Online_UG&PG_IF_CR1,18.35,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-06,Shoolini_Online_UG&PG_IF,Shoolini_Online_UG&PG_IF_CR2,234.63,2,2
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-06,AMITY_ONLINE_UG&PG_IF,AMITY_ONLINE_UG&PG_IF_CR1,208.97,6,5
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-06,AMITY_ONLINE_UG&PG_IF,AMITY_ONLINE_UG&PG_IF_CR2,22.47,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-06,ONLINE_MBA_IF,ONLINE_MBA_IF_3_CR1,247.78,7,9
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-06,ONLINE_MBA_IF,ONLINE_MBA_IF_3_CR2,26.24,1,1
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-07,IGNOU_ONLINE_DEGREE,IGNOU_ONLINE_Degree_CR1,245.06,6,9
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-07,CGC_BTECH_REGU_SF,CGC_BTECH_REGU_SF_CR2,92.73,6,2
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-07,CGC_BTECH_REGU_Rem_SF,CGC_BTECH_REGU_Rem_SF_AD_01,120.84,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-07,CGC_Landran_UG&PG_SF,CGC_Landran_UG&PG_SF_CR2,0.0,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-07,Online_UG&PG_SF,Online_UG&PG_SF_CR1,70.32,6,2
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-07,Online_BBA_SF_ASH_1,Online_BBA_SF_ASH_CR1,148.71,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-07,Online_UG&PG_SF,Online_UG&PG_SF_CR2,69.45,6,2
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-07,Online_UG_Video_SF,Online_UG_Video_SF_VD2,196.09,6,3
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-07,ONLINE_MBA_SF_ASH_2,ONLINE_MBA_SF_ASH_2_CR1,62.86,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-07,Amity_Online_MBA_SF,Amity_Online_MBA_SF_CR1,142.47,3,2
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-07,ONLINE_MBA_SF_ASH_2,ONLINE_MBA_SF_ASH_2_CR2,55.38,3,2
