Date,Account,Ad Name,Meta Spend,Sheet Spend,Meta Panel,Sheet Panel,LMS Actual,Sheet LMS,Status
2026-05-01,DegreeFYD,LPU_University_Punjab_April_Ad1,0.0,0.0,0,0.0,0,0.0,MISSING
2026-05-01,DegreeFYD,LPU_Nest_April_Ad1,0.0,0.0,0,0.0,0,0.0,MISSING
2026-05-01,DegreeFYD,Online_MBA_SF_Ad_Set_T1_C1,122.29,122.29,0,0.0,0,0.0,MATCH
2026-05-01,DegreeFYD,Ignou_Online_MBA_SF_Ad1,316.04,316.01,3,1.0,0,0.0,DISCREPANCY
2026-05-01,DegreeFYD,IGNOU_ONLINE_Degree_CR1,491.34,490.83,18,6.0,0,5.0,DISCREPANCY
2026-05-01,DegreeFYD,Online_MBA_SF_G1_CR1,185.41,185.41,12,4.0,0,0.0,DISCREPANCY
2026-05-01,DegreeFYD,Online_MBA_SF_G1_CR2,201.11,201.11,0,0.0,0,0.0,MATCH
2026-05-01,DegreeFYD,CGC_Landran_UG&PG_CR1,194.55,193.7,0,0.0,0,0.0,MATCH
2026-05-01,DegreeFYD,CGC_BTECH_REGU_SF_CR1,6.45,6.45,0,0.0,0,0.0,MATCH
2026-05-01,DegreeFYD,CGC_BTECH_REGU_SF_CR2,1.03,1.03,0,0.0,0,0.0,MATCH
2026-05-02,Degreefyd_B,Galgotias_Leads_2026_P_Ad_01,1598.39,1598.39,29,29.0,0,27.0,MATCH
2026-05-02,Degreefyd_B,IGNOU_Online_Courses_Admission_DFYD_Delhi_NCR_Ad01,852.69,852.69,38,34.0,0,29.0,DISCREPANCY
2026-05-02,Degreefyd_B,IGNOU_Online_Courses_Admission_DFYD_Rest_Ad01,491.68,491.68,34,32.0,0,30.0,DISCREPANCY
2026-05-02,Degreefyd_B,CU_Lucknow_Rem_Ad01,612.37,612.37,4,4.0,0,5.0,MATCH
2026-05-02,Degreefyd_B,CU_Lucknow_Rem_Ad02,5.09,5.09,0,0.0,0,0.0,MATCH
2026-05-02,Degreefyd_B,CU_Lucknow_Int_ADG1_Ad01,541.55,541.55,8,8.0,0,8.0,MATCH
2026-05-02,Degreefyd_B,UG_Online_Admission_SF_Ad_Set01_Ad01,45.39,45.39,0,0.0,0,3.0,MATCH
2026-05-02,Degreefyd_B,UG_Online_Admission_SF_Ad_Set01_Ad02,329.19,329.19,12,4.0,0,3.0,DISCREPANCY
