Platform,Meta,Meta,Meta,Meta,Meta,Meta,LMS,FFH Sheet,FFH Sheet,Fornula,Fornula,FFH Sheet,Formula,Formula,Formula,Formula
Platform,Account,Date,Campaign,Ad Name,Spends,Pannel_Lead,Lead_LMS,FFH,Adm,CPL Pannel,CPL LMS,Invoicing_Var,CAC FFH,CAC Adm,CAC / ARPU,Lead Dup
Google Ads,EP_LPU_Online_DFYD,2026-01-20,LPU_Online_Admission,23462286432,672.35,2,2,0,0,336,336,0,-,-,-,0%
Google Ads,Degreefyd_Generic_Regular,2026-01-20,DSA_Punjab_Generic_Admission_Colleges,23463111599,528.06,11.5,10,1,1,46,53,3528,528.06,528.06,14.97%,13%
Google Ads,Degreefyd_Generic_Exam,2026-01-20,JEE_Mains_Admit_Card,23465747037,307.85,26,20,2,0,12,15,0,153.925,-,-,23%
Google Ads,Degreefyd_Generic_Regular,2026-01-21,DSA_Punjab_Generic_Admission_Colleges,23463111599,616.53,14,11,2,3,44,56,49238,308.265,205.51,1.25%,21%
Google Ads,EP_LPU_Online_DFYD,2026-01-21,LPU_Online_Admission,23462286432,2017.64,1,1,0,0,2018,2018,0,-,-,-,0%
Google Ads,EP_CU_Online_DFYD,2026-01-21,CU_Online_Admission,23470383548,1419.23,5,5,1,0,284,284,0,1419.23,-,-,0%
Google Ads,Degreefyd_Generic_Exam,2026-01-21,JEE_Mains_Admit_Card,23465747037,338.87,9,9,0,0,38,38,0,-,-,-,0%
Google Ads,EP_CU_Online_DFYD,2026-01-22,CU_Online_Admission,23470383548,763.4,3,3,0,0,254,254,0,-,-,-,0%
Google Ads,EP_LPU_Online_DFYD,2026-01-22,LPU_Online_Admission,23462286432,819.76,1,,0,0,820,820,0,-,-,-,100%
Google Ads,EP_LPU_Online_DFYD,2026-01-22,LPU_Online_AdmissionP,23483764481,732.16,3,4,0,0,244,183,0,-,-,-,-33%
Google Ads,Degreefyd_Generic_Regular,2026-01-22,DSA_Punjab_Generic_Admission_Colleges,23463111599,624.28,16,14,3,2,39,45,21714,208.0933333,312.14,2.88%,13%
Google Ads,EP_CU_Online_DFYD,2026-01-23,CU_Online_Admission,23470383548,970.42,4,4,0,0,243,243,0,-,-,-,0%
Google Ads,EP_LPU_Online_DFYD,2026-01-23,LPU_Online_AdmissionP,23483764481,1081.81,2,2,0,0,541,541,0,-,-,-,0%
Google Ads,Degreefyd_Generic_Regular,2026-01-23,DSA_Punjab_Generic_Admission_Colleges,23463111599,576.41,11,11,1,1,52,52,14406.77966,576.41,576.41,4.00%,0%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-01-23,LPU_Online_Alpha,23486436393,48.85,0,0,0,0,49,49,0,-,-,-,0%
Google Ads,Degreefyd,2026-01-23,LPU_Online_2,22187016189,1370.78,9,8,0,0,152,171,0,-,-,-,11%
Google Ads,Degreefyd_Generic_Regular,2026-01-24,DSA_Punjab_Generic_Admission_Colleges,23463111599,758.05,19.5,19,3,0,39,40,0,252.6833333,-,-,3%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-01-24,LPU_Online_Alpha,23486436393,750.02,2,1,0,0,375,750,0,-,-,-,50%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-01-24,LPU_Online_Gamma,23486463996,671.16,3,3,1,0,224,224,0,671.16,-,-,0%
Google Ads,EP_CU_Online_DFYD,2026-01-24,CU_Online_Admission,23470383548,562.94,2,2,0,0,281,281,0,-,-,-,0%
Google Ads,Degreefyd,2026-01-24,LPU_Online_2,22187016189,1510.52,3,3,0,0,504,504,0,-,-,-,0%
Google Ads,Degreefyd,2026-01-24,CU_Online,22241388890,190.4,0,0,0,0,190,190,0,-,-,-,0%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-01-25,LPU_Online_Alpha,23486436393,722.69,1,1,0,0,723,723,0,-,-,-,0%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-01-25,LPU_Online_Gamma,23486463996,504.29,1,1,0,0,504,504,0,-,-,-,0%
Google Ads,EP_CU_Online_DFYD,2026-01-25,CU_Online_Admission,23470383548,882.72,1,2,0,0,883,441,0,-,-,-,-100%
Google Ads,Degreefyd_Generic_Regular,2026-01-25,DSA_Punjab_Generic_Admission_Colleges,23463111599,681.55,15.5,15,1,0,44,45,0,681.55,-,-,3%
Google Ads,Degreefyd,2026-01-25,LPU_Online_2,22187016189,1591.4,7,8,1,1,227,199,17500,1591.4,1591.4,9.09%,-14%
Google Ads,Degreefyd,2026-01-25,CU_Online,22241388890,478.02,3,3,2,2,159,159,28813.55932,239.01,239.01,1.66%,0%
Google Ads,Degreefyd_Generic_Regular,2026-01-26,DSA_Punjab_Generic_Admission_Colleges,23463111599,640.57,18,15,0,0,36,43,0,-,-,-,17%
Google Ads,EP_CU_Online_DFYD,2026-01-26,CU_Online_Admission,23470383548,713.93,2,3,0,0,357,238,0,-,-,-,-50%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-01-26,LPU_Online_Alpha,23486436393,744.22,1,1,0,0,744,744,0,-,-,-,0%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-01-26,LPU_Online_Gamma,23486463996,511.12,3,3,0,0,170,170,0,-,-,-,0%
Google Ads,Degreefyd,2026-01-26,LPU_Online_2,22187016189,1471.59,8,8,1,0,184,184,0,1471.59,-,-,0%
Google Ads,Degreefyd,2026-01-26,CU_Online,22241388890,1444.69,6,5,0,0,241,289,0,-,-,-,17%
Google Ads,Degreefyd_Generic_Regular,2026-01-27,DSA_Punjab_Generic_Admission_Colleges,23463111599,998.86,13.5,12,0,0,74,83,0,-,-,-,11%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-01-27,LPU_Online_Alpha,23486436393,717.89,5,5,1,0,144,144,0,717.89,-,-,0%
Google Ads,EP_Partner_LPU_Online_DFYD,2026-01-27,LPU_Online_Gamma,23486463996,500.33,3,3,1,1,167,167,17500,500.33,500.33,2.86%,0%
